ID,probability
TEST_00000,0.0659203703909312
TEST_00001,0.11165021595034808
TEST_00002,0.2594235402533669
TEST_00003,0.2092470050073834
TEST_00004,0.956621182008949
TEST_00005,0.22911277160336194
TEST_00006,0.8668574505645796
TEST_00007,0.6899641378085204
TEST_00008,0.5350322537666403
TEST_00009,0.036042612721640555
TEST_00010,0.1579685123297101
TEST_00011,0.9076132212686112
TEST_00012,0.7385779475279514
TEST_00013,0.8123397026657933
TEST_00014,0.6016909633939178
TEST_00015,0.08400413025858527
TEST_00016,0.37253378040791857
TEST_00017,0.7263037516515483
TEST_00018,0.3856517925544317
TEST_00019,0.9991617351527196
TEST_00020,0.45181087412703874
TEST_00021,0.7943558684090732
TEST_00022,0.4912065462378008
TEST_00023,0.38086369036384027
TEST_00024,0.8011896699123986
TEST_00025,0.06021073201061432
TEST_00026,0.2159420209399669
TEST_00027,0.8646091243185628
TEST_00028,0.3124673853908757
TEST_00029,0.3237034651981303
TEST_00030,0.8605232771159248
TEST_00031,0.34131812983667714
TEST_00032,0.2752756281434932
TEST_00033,0.3012313055836211
TEST_00034,0.8145325146835134
TEST_00035,0.03219270098926355
TEST_00036,0.23201616574328
TEST_00037,0.6121165354680405
TEST_00038,0.3669129647928764
TEST_00039,0.1411754582699546
TEST_00040,0.3482712869308404
TEST_00041,0.26839463954611564
TEST_00042,0.5788218770470872
TEST_00043,0.5839791488558517
TEST_00044,0.639934715267523
TEST_00045,0.9404332330376276
TEST_00046,0.948868620027313
TEST_00047,0.3933321860392819
TEST_00048,0.23254910233492843
TEST_00049,0.8073850577903117
TEST_00050,0.45963282889404555
TEST_00051,0.29032831114614677
TEST_00052,0.2435242652691885
TEST_00053,0.9905598054781442
TEST_00054,0.101063652614165
TEST_00055,0.8208000710582122
TEST_00056,0.5797128804112495
TEST_00057,0.3672099659142638
TEST_00058,0.9690286120332641
TEST_00059,0.3238866621515094
TEST_00060,0.12398825318929241
TEST_00061,0.2850516837465442
TEST_00062,0.6342361797328655
TEST_00063,0.6393129559105999
TEST_00064,0.37547881021905916
TEST_00065,0.11138097194310903
TEST_00066,0.49416267889460064
TEST_00067,0.33709627277471216
TEST_00068,0.5474896465964227
TEST_00069,0.9025558750707806
TEST_00070,0.7518375209566213
TEST_00071,0.6767045643798506
TEST_00072,0.4010653180410139
TEST_00073,0.46907579912731634
TEST_00074,0.243735219336716
TEST_00075,0.4262299177279137
TEST_00076,0.14263825818557296
TEST_00077,0.09961750696703564
TEST_00078,0.22851044222634262
TEST_00079,0.34555941687854597
TEST_00080,0.6811429269321727
TEST_00081,0.024009903738328134
TEST_00082,0.34392729856662263
TEST_00083,0.30538654557163003
TEST_00084,0.8572756947605671
TEST_00085,0.7541136043167864
TEST_00086,0.028745267412037704
