ID,probability
TEST_00000,0.04337457820909324
TEST_00001,0.0615025947482057
TEST_00002,0.21317917834209388
TEST_00003,0.15173740224996093
TEST_00004,0.7403109817245177
TEST_00005,0.1750522218067072
TEST_00006,0.6609317338521731
TEST_00007,0.5461951277798067
TEST_00008,0.3695678384543548
TEST_00009,0.021284190671522065
TEST_00010,0.10729963506600393
TEST_00011,0.6821351991450727
TEST_00012,0.5575053721708491
TEST_00013,0.6001310870553568
TEST_00014,0.4718593026840387
TEST_00015,0.030707338468630344
TEST_00016,0.3010572418379105
TEST_00017,0.5579253099640716
TEST_00018,0.30105005892143333
TEST_00019,0.8334197228399605
TEST_00020,0.36073391005340427
TEST_00021,0.6005862908399567
TEST_00022,0.3856566122465167
TEST_00023,0.302919741736147
TEST_00024,0.5896774551059027
TEST_00025,0.029486427745099235
TEST_00026,0.1707265776755142
TEST_00027,0.6734806812841434
TEST_00028,0.2438188912893912
TEST_00029,0.26771459885473314
TEST_00030,0.6520913457662381
TEST_00031,0.27292393843780133
TEST_00032,0.2129171998721894
TEST_00033,0.23755729205752987
TEST_00034,0.6101732145469093
TEST_00035,0.021362462595400183
TEST_00036,0.1808366869820881
TEST_00037,0.4608336458491624
TEST_00038,0.277643023374366
TEST_00039,0.07236337729325044
TEST_00040,0.2745729356280386
TEST_00041,0.20135787397481886
TEST_00042,0.4437526111925727
TEST_00043,0.45248080267081936
TEST_00044,0.47053963083323364
TEST_00045,0.7385550345259743
TEST_00046,0.7337329782424766
TEST_00047,0.3036373305358646
TEST_00048,0.1849359079486488
TEST_00049,0.5959496514190741
TEST_00050,0.3522276573677433
TEST_00051,0.23816763732187318
TEST_00052,0.1955581490305201
TEST_00053,0.7821548414734765
TEST_00054,0.05014001209974975
TEST_00055,0.6150077723335278
TEST_00056,0.4308787890250177
TEST_00057,0.2852022873671741
TEST_00058,0.7432069938577226
TEST_00059,0.2601802097598497
TEST_00060,0.06787247111457202
TEST_00061,0.22590984195401526
TEST_00062,0.4622886430087604
TEST_00063,0.47975611317525196
