ID,probability
TEST_00000,0.05861192223566901
TEST_00001,0.11170295446722996
TEST_00002,0.25796962261427603
TEST_00003,0.2107581023016199
TEST_00004,0.9566783616640946
TEST_00005,0.23034296690241707
TEST_00006,0.8661962761055659
TEST_00007,0.6816692018164255
TEST_00008,0.5464803979259885
TEST_00009,0.03472526008415957
TEST_00010,0.15739227463999023
TEST_00011,0.9101274606681693
TEST_00012,0.7377463443880667
TEST_00013,0.8163622636481731
TEST_00014,0.6005085103311978
TEST_00015,0.08535534657532726
TEST_00016,0.367460335083882
TEST_00017,0.7250197075510454
TEST_00018,0.38450098260184085
TEST_00019,0.9990851255176703
TEST_00020,0.45039581644775556
TEST_00021,0.7931117945529439
TEST_00022,0.4900052183374599
TEST_00023,0.37897676174403494
TEST_00024,0.8053154873594102
TEST_00025,0.060787524842617166
TEST_00026,0.2145996868997524
TEST_00027,0.8572157393940066
TEST_00028,0.3144914341545738
TEST_00029,0.32069015288618474
TEST_00030,0.8601641000588451
TEST_00031,0.3417505856751085
TEST_00032,0.27623380372389444
TEST_00033,0.30108696859004963
TEST_00034,0.8137208966658154
TEST_00035,0.030958064551944664
TEST_00036,0.2322393329410328
TEST_00037,0.6119855218892603
TEST_00038,0.37020828938456923
TEST_00039,0.14141083859793263
TEST_00040,0.3478355002387112
TEST_00041,0.27016332285964895
TEST_00042,0.5771453473525264
TEST_00043,0.5824869263992362
TEST_00044,0.6423817824508422
TEST_00045,0.93887328322249
TEST_00046,0.9490074055980549
TEST_00047,0.39451463910200185
TEST_00048,0.23203337515405198
TEST_00049,0.8115885951569387
TEST_00050,0.46090410472204024
TEST_00051,0.2874165898719842
TEST_00052,0.2419992894178778
TEST_00053,0.9915257530505068
TEST_00054,0.1008171694405276
TEST_00055,0.8223211609135421
TEST_00056,0.5832591293148434
TEST_00057,0.36910633195287956
TEST_00058,0.9708539198596601
TEST_00059,0.32201583265791023
TEST_00060,0.12366627066517148
TEST_00061,0.2860637081283933
TEST_00062,0.638399746855119
TEST_00063,0.6414102834556497
TEST_00064,0.3777604450020541
TEST_00065,0.11473236590538155
TEST_00066,0.49594912676118885
TEST_00067,0.33627910333418454
TEST_00068,0.5503303096583654
TEST_00069,0.9039781495997425
TEST_00070,0.7442054248503891
TEST_00071,0.6742358466474958
TEST_00072,0.40114525852976113
TEST_00073,0.4673071158137831
TEST_00074,0.2440172316164633
TEST_00075,0.4298194677295791
TEST_00076,0.14257941310357847
TEST_00077,0.10639024281923457
TEST_00078,0.22665071557840272
TEST_00079,0.34936658265513454
TEST_00080,0.6856778842417312
TEST_00081,0.027610556585652903
TEST_00082,0.3438007261261061
TEST_00083,0.30627588350894336
TEST_00084,0.8613887439350706
TEST_00085,0.7566250680049296
TEST_00086,0.026035062786592202
TEST_00087,0.7474069303962606
TEST_00088,0.22654246283322416
TEST_00089,0.7790666947938756
TEST_00090,0.4600053293659165
